Clearsky DHI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Precipitable Water,Label
180,781,7,20.200000000000003,157,3,159,0.293,63.370000000000005,34.99,0.15,4.0,16.785751673275342
108,574,0,19.9,108,770,574,0.288,62.01,52.73,0.14,2.7,758.6079367123261
156,701,0,17.7,156,742,701,0.302,57.11,42.78,0.14,3.0,740.8091121023836
138,873,0,14.7,138,859,873,0.3,49.61,31.13,0.14,2.0,857.130833271637
92,381,1,15.5,92,686,381,0.297,59.84,65.1,0.14,1.6,659.2310961585397
125,696,0,17.7,125,806,696,0.298,57.13,44.93,0.15,2.3000000000000003,807.7064881361061
109,811,0,13.6,109,887,811,0.301,51.65,37.78,0.14,1.9,886.6684593080176
50,144,0,14.0,50,488,144,0.281,46.23,78.94,0.14,1.7000000000000002,460.1054324323902
128,829,2,11.9,376,296,617,0.324,49.26,35.5,0.14,2.1,287.53927927136516
56,122,0,10.5,56,375,122,0.315,46.22,79.85000000000001,0.14,2.0,385.23020407463434
236,694,0,14.6,236,611,694,0.285,39.19,41.47,0.14,2.4000000000000004,631.3418739330573
207,579,0,16.2,207,578,579,0.275,45.71,49.94,0.14,2.5,601.9711075362701
45,91,0,18.6,45,331,91,0.275,63.82,82.03,0.14,2.8000000000000003,307.4922409574755
182,683,0,20.0,182,698,683,0.257,63.120000000000005,44.16,0.14,2.8000000000000003,712.1348138395979
128,420,0,18.0,128,619,420,0.265,53.74,61.84,0.14,2.2,648.7466462786642
167,737,3,17.400000000000002,360,197,508,0.281,56.82,41.23,0.14,2.7,200.39956769002282
165,740,2,13.0,352,237,529,0.299,58.120000000000005,41.63,0.14,2.3000000000000003,226.48230653281666
122,586,0,11.6,122,768,586,0.294,57.09,52.84,0.14,2.0,761.959779888844
117,689,0,11.1,117,830,689,0.283,50.76,46.5,0.14,2.1,817.0132799558119
120,698,0,9.3,120,833,698,0.281,42.08,45.97,0.14,2.0,826.7684716797844
118,687,0,9.6,118,833,687,0.283,40.38,46.89,0.14,1.9,825.9276394209955
167,644,2,17.8,284,359,528,0.279,66.77,47.28,0.14,3.0,288.0859117432197
180,373,2,18.4,192,130,251,0.271,81.87,63.05,0.15,3.2,105.12466654395507
168,700,3,12.0,322,83,381,0.293,67.15,45.1,0.13,1.8,106.50855437566031
127,641,1,10.8,127,800,641,0.293,60.370000000000005,50.0,0.13,1.7000000000000002,779.4796192709006
87,340,0,12.2,87,666,340,0.269,60.2,67.67,0.13,2.0,663.0608333050156
138,460,3,16.0,225,175,314,0.277,61.29,59.16,0.13,3.2,147.3836540318731
107,602,2,7.6,278,154,371,0.318,48.92,52.66,0.13,2.0,183.98141831014715
89,683,0,9.3,89,903,683,0.294,52.61,48.82,0.13,1.5,880.4664797012003
15,20,1,8.200000000000001,15,130,20,0.265,62.54,87.8,0.13,2.4000000000000004,99.16086940190911
105,632,0,12.6,105,850,632,0.277,60.21,51.71,0.13,1.4,845.0635935281059
92,383,0,10.7,92,709,383,0.295,64.05,65.75,0.13,1.7000000000000002,686.4575398457118
86,580,0,2.9000000000000004,86,884,580,0.333,51.77,56.07,0.13,1.0,854.591220687229
84,522,0,6.4,84,851,522,0.315,60.94,59.0,0.13,1.2000000000000002,841.3087014539925
126,311,0,9.7,126,509,311,0.282,68.57000000000001,68.7,0.14,1.8,537.5703394705683
135,474,4,10.5,224,191,320,0.293,61.870000000000005,59.67,0.12,2.2,142.90990107759035
100,414,3,11.0,185,242,292,0.295,62.09,63.7,0.12,1.9,183.6294710932928
139,400,0,11.3,139,580,400,0.306,78.47,63.3,0.13,2.3000000000000003,570.0775856724641
77,269,7,9.9,111,12,115,0.293,70.89,72.19,0.13,1.9,43.21758906316222
47,124,1,2.8000000000000003,47,486,124,0.297,65.18,80.79,0.12,1.3,431.62903837289616
85,423,1,8.0,85,782,423,0.294,64.08,64.39,0.11,1.4,761.4064249465798
72,257,0,9.1,72,640,257,0.29,67.8,73.19,0.11,1.4,644.6948027504167
76,431,0,7.1000000000000005,76,822,431,0.317,64.4,64.38,0.11,1.2000000000000002,816.5712042577253
78,365,7,10.7,146,329,272,0.301,80.99,67.37,0.11,1.6,303.26047629037197
75,366,0,10.7,75,762,366,0.275,79.02,67.55,0.11,1.6,738.48647392676
72,374,0,6.1000000000000005,72,788,374,0.279,75.04,67.47,0.12,1.3,751.9003872193498
15,17,1,5.2,15,77,17,0.409,86.47,88.15,0.11,1.4,99.47967952930082
