Temperature,Clearsky DHI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Label
27.0,162,883,0,17.3,162,807,0,883,0.325,55.47,26.71,0.14,1014,2.7,281,0.7000000000000001,808.5785445153782
24.5,147,432,3,19.3,215,164,0,299,0.328,72.91,59.39,0.14,1010,3.5,225,3.6,128.67941863455752
26.0,129,775,0,17.7,129,810,0,775,0.316,60.15,37.06,0.14,1013,3.2,68,3.0,817.1571567011695
26.3,116,961,0,18.9,116,896,0,961,0.319,63.89,19.32,0.14,1008,2.7,47,3.8,886.5695833042364
22.9,53,133,0,18.7,53,420,0,133,0.323,77.13,79.0,0.14,1008,2.8000000000000003,45,3.5,405.00707075548695
21.9,10,11,0,19.200000000000003,10,44,0,11,0.323,84.5,88.84,0.14,1008,2.7,47,3.0,45.77936702532452
30.9,167,953,0,18.3,167,834,0,953,0.278,46.99,19.65,0.14,1008,2.0,61,2.3000000000000003,815.3180832629707
31.1,135,828,0,17.7,135,843,0,828,0.28,44.91,34.79,0.14,1007,1.7000000000000002,43,2.2,861.0951947969075
30.5,121,687,0,17.8,121,812,0,687,0.28,46.58,45.76,0.14,1007,1.6,46,2.3000000000000003,838.5878067921476
27.1,95,458,0,21.4,95,725,0,458,0.283,70.97,59.91,0.14,1004,2.1,69,0.9,722.1790517288564
27.9,149,767,0,22.6,149,781,0,767,0.29,72.77,37.62,0.14,1000,2.7,67,2.3000000000000003,798.0617233476223
24.1,111,839,0,14.6,111,887,0,839,0.312,55.53,34.87,0.14,1014,1.7000000000000002,43,6.5,896.5979058972149
24.700000000000003,111,829,0,15.9,111,875,0,829,0.316,57.95,34.910000000000004,0.14,1013,2.1,44,5.7,882.1542725775064
25.4,170,871,0,16.8,170,792,0,871,0.305,59.02,27.78,0.14,1014,2.8000000000000003,9,2.8000000000000003,797.065819846026
